id,word,translation
1,have,tener
2,has,tiene
3,having,teniendo
4,had,tuvo
5,do,hacer
6,does,hace
7,doing,haciendo
8,done,hecho
9,did,hizo
10,say,decir
11,says,dice
12,saying,diciendo
13,said,dicho
14,go,ir
15,goes,va
16,going,yendo
17,gone,he ido
18,went,fue
19,get,conseguir
20,gets,consigue
21,getting,consiguiendo
22,got,consiguió
23,see,ver
24,sees,vé
25,seeing,viendo
26,seen,visto
27,saw,vió
28,speak,hablar
29,speaks,habla
30,speaking,hablando
31,spoken,hablado
32,spoke,habló
33,buy,comprar
34,buys,compra
35,buying,comprando
36,bought,compró
37,wear,vestir
38,wears,viste
39,wearing,vistiendo
40,worn,vestido
41,wore,vistió
42,wake up,despertar
43,wakes up,despierta
44,waking up,despertando
45,waked up,despertado
46,woke up,despertó
47,seek,buscar
48,seeks,busca
49,seeking,buscando
50,sought,buscó
51,mean,significar
52,means,significar
53,meaning,significando
54,meant,significó
55,drive,conducir
56,drives,conduce
57,driving,conduciendo
58,driven,conducido
59,drove,condujo
60,begin,empezar
61,begins,empieza
62,beginning,empezando
63,begun,empezado
64,began,empezó
65,bleed,sangrar
66,bleeds,sangra
67,bleeding,sangrando
68,bled,sangró
69,keep,conservar
70,keeps,conservar
71,keeping,conservando
72,kept,conservó
73,break,romper
74,breaks,rompe
75,breaking,rompiendo
76,broke,rompió
77,fall,caer
78,falls,cae
79,falling,cayendo
80,fallen,caído
81,fell,cayeron
82,tell,contó
83,tells,cuenta
84,telling,contando
85,told,contó
86,ride,montar
87,rides,monta
88,riding,montando
89,ridden,montado
90,rode,montó
91,lend,prestar
92,lends,presta
93,lending,prestando
94,lent,prestó
95,forgive,perdonar
96,forgives,perdona
97,forgiving,perdonar
98,forgive,perdonado
99,forgave,perdonó
100,teach,enseñar
101,teaches,enseña
102,teaching,enseñando
103,taught,enseñó
104,come,venir
105,comes,viene
106,coming,viniendo
107,come,venido
108,came,vino
109,hide,ocultar
110,hides,oculta
111,hiding,ocultando
112,hidden,ocultado
113,hid,ocultó
114,blow,soplar
115,blows,soplar
116,blowing,soplando
117,blown,soplado
118,blew,sopló
119,pay,pagar
120,pays,paga
121,paying,pagando
122,paid,pagó
123,learn,aprender
124,learns,aprende
125,learning,aprendiendo
126,leadned,aprendió
127,cling,aferrar
128,clings,aferra
129,clinging,aferrando
130,clung,aferró
131,awake,despertar
132,awakes,despierta
133,awaking,despertando
134,awoken,despertado
135,awoke,despertó
136,find,encontrar
137,finds,encuentra
138,finding,encontrando
139,found,encontró
140,shine,brillar
141,shines,brilla
142,shining,brillando
143,shone,brilló
144,hear,oír
145,hears,oye
146,hearing,oyendo
147,heard,oyó
148,feel,sentir
149,feels,siente
150,feeling,sintiendo
151,felt,sintió
152,catch,atrapar
153,catches,atrapa
154,catching,atrapando
155,caught,atrapó
156,spell,deletrear
157,spells,deletrea
158,spelling,deletreando
159,spelled,deletreó